Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00552256,5.15652e-11
2,0.0060998,5.23533e-11
3,0.00673696,1.01264e-10
4,0.00744019,7.434e-11
5,0.00821621,1.40233e-10
6,0.00907243,2.61368e-11
7,0.010017,9.48063e-11
8,0.0110588,5.8687e-11
9,0.0122076,1.02119e-10
10,0.0134741,6.92069e-11
11,0.01487,1.75892e-10
12,0.0164082,1.41354e-10
13,0.0181025,8.63684e-11
14,0.0199683,2.04407e-10
15,0.022022,2.17415e-10
16,0.0242817,3.08973e-10
17,0.026767,4.87356e-10
18,0.0294989,2.40056e-10
19,0.0325004,1.61038e-10
20,0.0357959,4.50965e-10
21,0.0394121,1.94354e-10
22,0.0433771,3.0083e-10
23,0.0477212,4.61094e-10
24,0.0524765,9.40919e-10
25,0.0576769,5.40061e-10
26,0.0633582,3.66285e-10
27,0.0695579,7.55699e-10
28,0.0763148,4.78042e-10
29,0.083669,8.089e-10
30,0.0916616,1.00581e-09
31,0.100334,1.15988e-09
32,0.109728,1.47816e-09
33,0.119884,3.12953e-10
34,0.130843,1.37884e-09
35,0.14264,1.02566e-09
36,0.155311,1.85284e-09
37,0.168887,1.7543e-09
38,0.183391,1.27437e-09
39,0.198842,2.53351e-09
40,0.215253,1.76939e-09
41,0.232624,2.97715e-09
42,0.25095,4.04186e-09
43,0.27021,2.76622e-09
44,0.290376,1.78789e-09
45,0.311405,1.99332e-09
46,0.333241,1.72405e-09
47,0.355817,3.3179e-09
48,0.379054,4.74439e-09
49,0.402859,7.1087e-09
50,0.427131,1.73692e-09
51,0.451758,4.3749e-09
52,0.476625,7.03494e-09
53,0.501608,5.9942e-09
54,0.526583,4.13551e-09
55,0.551425,6.03615e-09
56,0.576014,9.47946e-10
57,0.600232,9.60142e-09
58,0.62397,3.57406e-09
59,0.647127,6.38803e-09
60,0.669613,1.0598e-08
61,0.69135,9.91457e-09
62,0.712271,5.32979e-09
63,0.732323,3.24367e-09
64,0.751465,1.02316e-08
65,0.769669,2.79463e-09
66,0.786918,9.24863e-09
67,0.803205,1.07246e-08
68,0.818535,6.03162e-09
69,0.832919,2.82299e-09
70,0.846376,7.97945e-09
71,0.858933,1.11142e-08
72,0.870621,8.93601e-09
73,0.881474,1.05117e-08
74,0.89153,1.6198e-08
75,0.900829,1.39678e-08
76,0.909411,6.00353e-09
77,0.917319,3.96475e-09
78,0.924594,1.33613e-08
79,0.931277,9.86147e-09
80,0.937407,1.67698e-08
81,0.943024,1.64136e-08
82,0.948165,1.09022e-08
83,0.952865,6.4834e-09
84,0.957158,5.15271e-09
85,0.961076,7.57222e-09
86,0.964648,1.09833e-08
87,0.967904,2.95634e-09
88,0.970869,1.62621e-08
89,0.973567,9.7831e-09
90,0.976021,1.32756e-08
91,0.978253,1.14123e-08
92,0.98028,1.33218e-08
93,0.982122,1.84128e-09
94,0.983795,9.19543e-09
95,0.985313,4.05152e-09
96,0.98669,8.5039e-09
97,0.98794,1.18258e-08
98,0.989073,7.28855e-09
99,0.9901,4.79506e-09
100,0.991031,3.65792e-09
101,0.991875,4.45814e-09
102,0.992639,3.00294e-09
103,0.993152,3.61689e-09
104,0.993152,3.61689e-09
105,0.993152,3.61689e-09
106,0.993152,3.61689e-09
107,0.993152,3.61689e-09
108,0.993152,3.61689e-09
109,0.993152,3.61689e-09
110,0.993152,3.61689e-09
111,0.993152,3.61689e-09
112,0.993152,3.61689e-09
113,0.993152,3.61689e-09
