Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00843714,0.0683319
2,0.00806885,0.0579393
3,0.00811995,0.053893
4,0.00837028,0.0523925
5,0.00873712,0.0521748
6,0.00918586,0.0527254
7,0.00970057,0.0537996
8,0.0102734,0.0552662
9,0.0109003,0.0570483
10,0.0115791,0.0590976
11,0.0123089,0.0613814
12,0.0130893,0.0638768
13,0.0139201,0.0665667
14,0.0148015,0.0694377
15,0.0157337,0.0724784
16,0.0167167,0.0756793
17,0.0177506,0.0790311
18,0.0188354,0.0825254
19,0.0199708,0.0861537
20,0.0211566,0.0899075
21,0.0223922,0.093778
22,0.023677,0.0977565
23,0.0250099,0.101834
24,0.0263901,0.106001
25,0.0278163,0.110247
26,0.0292871,0.114564
27,0.0308011,0.118942
28,0.0323566,0.123371
29,0.0339518,0.127841
30,0.035585,0.132343
31,0.0372544,0.136868
32,0.0389578,0.141408
33,0.0406936,0.145952
34,0.0424596,0.150495
35,0.0442539,0.155027
36,0.0460748,0.159543
37,0.0479203,0.164035
38,0.0497886,0.168499
39,0.0516781,0.172928
40,0.0535871,0.177318
41,0.0555141,0.181665
42,0.0574576,0.185965
43,0.0594164,0.190216
44,0.061389,0.194415
45,0.0633744,0.19856
46,0.0653716,0.202649
47,0.0673794,0.206681
48,0.0693971,0.210655
49,0.0714239,0.214571
50,0.073459,0.218428
51,0.0755017,0.222227
52,0.0775515,0.225968
53,0.079608,0.229651
54,0.0816705,0.233277
55,0.0837388,0.236846
56,0.0858124,0.24036
57,0.0878911,0.24382
58,0.0899746,0.247225
59,0.0920626,0.250579
60,0.0941549,0.25388
61,0.0962514,0.257132
62,0.0983519,0.260335
63,0.100456,0.263489
64,0.102564,0.266597
65,0.104676,0.26966
66,0.106791,0.272678
67,0.10891,0.275652
68,0.111032,0.278584
69,0.113158,0.281475
70,0.115286,0.284326
71,0.117418,0.287138
72,0.119554,0.289911
73,0.121692,0.292647
74,0.123833,0.295346
75,0.125978,0.29801
76,0.128125,0.30064
77,0.130276,0.303235
78,0.13243,0.305797
79,0.134586,0.308327
80,0.136746,0.310825
81,0.138908,0.313291
82,0.141073,0.315728
83,0.143241,0.318134
84,0.145412,0.320512
85,0.147586,0.32286
86,0.149762,0.325181
87,0.151941,0.327474
88,0.154123,0.329739
89,0.156307,0.331978
90,0.158494,0.334191
91,0.160683,0.336379
92,0.162875,0.33854
93,0.16507,0.340677
94,0.167267,0.34279
95,0.169467,0.344878
96,0.171669,0.346943
97,0.173873,0.348984
98,0.17608,0.351002
99,0.178289,0.352997
100,0.1805,0.35497
101,0.182713,0.35692
102,0.184929,0.358849
103,0.187147,0.360756
104,0.189367,0.362642
105,0.191589,0.364506
106,0.193814,0.36635
107,0.19604,0.368174
108,0.198268,0.369977
109,0.200499,0.371759
110,0.202731,0.373522
111,0.204965,0.375266
112,0.207202,0.37699
113,0.20944,0.378694
114,0.21168,0.38038
115,0.213921,0.382047
116,0.216165,0.383695
117,0.21841,0.385324
118,0.220657,0.386936
119,0.222906,0.388529
120,0.225156,0.390104
121,0.227408,0.391662
122,0.229662,0.393201
123,0.231917,0.394724
124,0.234174,0.396229
125,0.236433,0.397716
126,0.238693,0.399187
127,0.240954,0.400641
128,0.243217,0.402078
129,0.245482,0.403499
130,0.247748,0.404903
131,0.250015,0.40629
132,0.252284,0.407662
133,0.254554,0.409017
134,0.256825,0.410357
135,0.259098,0.41168
136,0.261372,0.412988
137,0.263647,0.41428
138,0.265924,0.415556
139,0.268202,0.416817
140,0.270481,0.418063
141,0.272761,0.419294
142,0.275043,0.420509
143,0.277326,0.421709
144,0.27961,0.422895
145,0.281895,0.424065
146,0.284181,0.425221
147,0.286468,0.426362
148,0.288757,0.427489
149,0.291046,0.428601
150,0.293337,0.429699
151,0.295628,0.430782
152,0.297921,0.431852
153,0.300215,0.432907
154,0.302509,0.433948
155,0.304805,0.434975
156,0.307102,0.435988
157,0.3094,0.436987
158,0.311698,0.437972
159,0.313998,0.438944
160,0.316298,0.439902
161,0.3186,0.440847
162,0.320902,0.441778
163,0.323205,0.442695
164,0.32551,0.443599
165,0.327815,0.44449
166,0.330121,0.445368
167,0.332427,0.446232
168,0.334735,0.447083
169,0.337043,0.447921
170,0.339352,0.448746
171,0.341662,0.449558
172,0.343973,0.450357
173,0.346285,0.451144
174,0.348597,0.451917
175,0.350911,0.452678
176,0.353224,0.453426
177,0.355539,0.454161
178,0.357855,0.454883
179,0.360171,0.455593
180,0.362488,0.456291
181,0.364805,0.456976
182,0.367123,0.457648
183,0.369442,0.458308
184,0.371762,0.458955
185,0.374082,0.459591
186,0.376403,0.460214
187,0.378725,0.460824
188,0.381048,0.461423
189,0.383371,0.462009
190,0.385694,0.462583
191,0.388018,0.463145
192,0.390343,0.463694
193,0.392669,0.464232
194,0.394995,0.464758
195,0.397322,0.465271
196,0.399649,0.465773
197,0.401977,0.466262
198,0.404306,0.46674
199,0.406635,0.467206
200,0.408964,0.467659
201,0.411295,0.468101
202,0.413626,0.468531
203,0.415957,0.46895
204,0.418289,0.469356
205,0.420621,0.469751
206,0.422954,0.470134
207,0.425288,0.470505
208,0.427622,0.470864
209,0.429956,0.471212
210,0.432292,0.471548
211,0.434627,0.471873
212,0.436963,0.472185
213,0.4393,0.472486
214,0.441637,0.472776
215,0.443975,0.473054
216,0.446313,0.47332
217,0.448651,0.473574
218,0.45099,0.473817
219,0.45333,0.474049
220,0.45567,0.474269
221,0.45801,0.474477
222,0.460351,0.474674
223,0.462692,0.474859
224,0.465034,0.475033
225,0.467376,0.475195
226,0.469719,0.475345
227,0.472062,0.475484
228,0.474406,0.475612
229,0.47675,0.475728
230,0.479094,0.475832
231,0.481439,0.475925
232,0.483784,0.476007
233,0.486129,0.476077
234,0.488476,0.476135
235,0.490822,0.476182
236,0.493169,0.476217
237,0.495516,0.476241
238,0.497864,0.476253
239,0.500212,0.476254
240,0.50256,0.476243
241,0.504909,0.47622
242,0.507258,0.476187
243,0.509607,0.476141
244,0.511957,0.476084
245,0.514307,0.476015
246,0.516658,0.475935
247,0.519009,0.475843
248,0.52136,0.475739
249,0.523712,0.475624
250,0.526064,0.475497
251,0.528416,0.475359
252,0.530769,0.475208
253,0.533122,0.475046
254,0.535475,0.474873
255,0.537829,0.474687
256,0.540183,0.47449
257,0.542538,0.474281
258,0.544892,0.474061
259,0.547247,0.473828
260,0.549603,0.473584
261,0.551958,0.473327
262,0.554314,0.473059
263,0.556671,0.472779
264,0.559027,0.472487
265,0.561384,0.472183
266,0.563742,0.471867
267,0.566099,0.471539
268,0.568457,0.471199
269,0.570815,0.470847
270,0.573174,0.470483
271,0.575532,0.470107
272,0.577891,0.469718
273,0.580251,0.469317
274,0.58261,0.468904
275,0.58497,0.468479
276,0.58733,0.468041
277,0.589691,0.467591
278,0.592051,0.467129
279,0.594412,0.466654
280,0.596774,0.466167
281,0.599135,0.465667
282,0.601497,0.465155
283,0.603859,0.46463
284,0.606221,0.464092
285,0.608584,0.463542
286,0.610947,0.462978
287,0.61331,0.462402
288,0.615673,0.461813
289,0.618037,0.461212
290,0.620401,0.460597
291,0.622765,0.459969
292,0.625129,0.459328
293,0.627494,0.458674
294,0.629859,0.458007
295,0.632224,0.457327
296,0.634589,0.456633
297,0.636955,0.455926
298,0.639321,0.455205
299,0.641687,0.454471
300,0.644053,0.453723
301,0.64642,0.452962
302,0.648786,0.452187
303,0.651153,0.451398
304,0.653521,0.450595
305,0.655888,0.449778
306,0.658256,0.448947
307,0.660624,0.448102
308,0.662992,0.447243
309,0.66536,0.44637
310,0.667729,0.445482
311,0.670097,0.444579
312,0.672466,0.443663
313,0.674836,0.442731
314,0.677205,0.441785
315,0.679575,0.440824
316,0.681944,0.439848
317,0.684314,0.438856
318,0.686685,0.43785
319,0.689055,0.436829
320,0.691426,0.435792
321,0.693797,0.434739
322,0.696168,0.433671
323,0.698539,0.432588
324,0.70091,0.431488
325,0.703282,0.430372
326,0.705654,0.429241
327,0.708026,0.428093
328,0.710398,0.426929
329,0.712771,0.425748
330,0.715143,0.424551
331,0.717516,0.423337
332,0.719889,0.422106
333,0.722262,0.420858
334,0.724636,0.419592
335,0.727009,0.418309
336,0.729383,0.417009
337,0.731757,0.415691
338,0.734131,0.414355
339,0.736505,0.413001
340,0.73888,0.411629
341,0.741254,0.410238
342,0.743629,0.408829
343,0.746004,0.407401
344,0.748379,0.405954
345,0.750754,0.404488
346,0.75313,0.403002
347,0.755506,0.401496
348,0.757881,0.399971
349,0.760257,0.398425
350,0.762634,0.39686
351,0.76501,0.395273
352,0.767386,0.393666
353,0.769763,0.392038
354,0.77214,0.390388
355,0.774517,0.388716
356,0.776894,0.387023
357,0.779271,0.385308
358,0.781649,0.38357
359,0.784026,0.381809
360,0.786404,0.380025
361,0.788782,0.378217
362,0.79116,0.376386
363,0.793539,0.37453
364,0.795917,0.37265
365,0.798296,0.370745
366,0.800674,0.368815
367,0.803053,0.366859
368,0.805432,0.364876
369,0.807811,0.362868
370,0.810191,0.360832
371,0.81257,0.358769
372,0.81495,0.356678
373,0.817329,0.354558
374,0.819709,0.35241
375,0.822089,0.350232
376,0.82447,0.348024
377,0.82685,0.345785
378,0.829231,0.343515
379,0.831611,0.341213
380,0.833992,0.338879
381,0.836373,0.336511
382,0.838754,0.33411
383,0.841135,0.331673
384,0.843517,0.329202
385,0.845899,0.326694
386,0.84828,0.324148
387,0.850662,0.321565
388,0.853045,0.318943
389,0.855427,0.316281
390,0.85781,0.313577
391,0.860193,0.310831
392,0.862576,0.308042
393,0.864959,0.305209
394,0.867343,0.302329
395,0.869727,0.299402
396,0.872111,0.296426
397,0.874496,0.293399
398,0.876881,0.29032
399,0.879267,0.287187
400,0.881654,0.283997
401,0.884041,0.28075
402,0.886429,0.277441
403,0.888817,0.27407
404,0.891207,0.270633
405,0.893598,0.267127
406,0.89599,0.263549
407,0.898383,0.259896
408,0.900778,0.256165
409,0.903175,0.252351
410,0.905573,0.24845
411,0.907974,0.244458
412,0.910376,0.24037
413,0.912781,0.236181
414,0.915189,0.231886
415,0.917599,0.227481
416,0.920012,0.222958
417,0.922428,0.218314
418,0.924846,0.213543
419,0.927267,0.20864
420,0.929689,0.203601
421,0.932113,0.198422
422,0.934537,0.193101
423,0.93696,0.187635
424,0.93938,0.182027
425,0.941797,0.176277
426,0.944207,0.17039
427,0.946607,0.164373
428,0.948995,0.158237
429,0.951366,0.151993
430,0.953717,0.145657
431,0.956042,0.139249
432,0.958336,0.13279
433,0.960595,0.126304
434,0.962812,0.119817
435,0.964981,0.113359
436,0.967097,0.106957
437,0.969154,0.100641
438,0.971146,0.0944412
439,0.97307,0.0883839
440,0.974919,0.0824956
441,0.976691,0.0767997
442,0.978383,0.0713167
443,0.979992,0.066064
444,0.981517,0.0610551
445,0.982957,0.0563002
446,0.984313,0.0518058
447,0.985585,0.047575
448,0.986774,0.043608
449,0.987883,0.0399017
450,0.988914,0.036451
451,0.98987,0.0332486
452,0.990755,0.0302853
453,0.991571,0.0275509
454,0.992323,0.0250341
455,0.993015,0.0227229
456,0.993649,0.020605
457,0.994231,0.0186681
458,0.994763,0.0168998
459,0.995248,0.015288
460,0.995692,0.013821
461,0.996095,0.0124875
462,0.996463,0.0112766
463,0.996797,0.0101785
464,0.997101,0.00918344
465,0.997377,0.00828266
466,0.997627,0.00746781
467,0.997854,0.00673118
468,0.99806,0.00606567
469,0.998247,0.00546474
470,0.998416,0.00492238
471,0.998569,0.00443309
472,0.998707,0.00399184
473,0.998832,0.00359404
474,0.998945,0.00323552
475,0.999047,0.00291248
476,0.99914,0.00262148
477,0.999224,0.00235939
478,0.999299,0.00212338
479,0.999367,0.00191088
480,0.999429,0.00171959
481,0.999484,0.00154739
482,0.999535,0.0013924
483,0.99958,0.00125291
484,0.999621,0.00112738
485,0.999658,0.00101442
486,0.999691,0.00091277
487,0.999722,0.000821307
488,0.999749,0.000739011
489,0.999773,0.000664964
490,0.999795,0.000598341
491,0.999815,0.000538398
492,0.999833,0.000484467
493,0.99985,0.000435943
494,0.999864,0.000392285
495,0.999878,0.000353005
496,0.99989,0.000317663
497,0.9999,0.000285865
498,0.99991,0.000257254
499,0.999919,0.000231974
500,0.999927,0.000208885
501,0.999934,0.000188065
502,0.99994,0.00016932
503,0.999946,0.000152446
504,0.999951,0.000137256
505,0.999956,0.000123583
506,0.99996,0.000111273
507,0.999964,0.000100192
508,0.999968,9.03763e-05
509,0.999971,8.13614e-05
510,0.999974,7.32297e-05
511,0.999976,6.59103e-05
512,0.999979,5.93234e-05
513,0.999981,5.33957e-05
514,0.999983,4.80611e-05
515,0.999984,4.32604e-05
516,0.999986,3.89398e-05
517,0.999987,3.50514e-05
518,0.999988,3.15518e-05
519,0.99999,2.84021e-05
520,0.999991,2.55673e-05
521,0.999992,2.30158e-05
522,0.999992,2.1616e-05
523,0.999993,2.02917e-05
524,0.999993,1.90466e-05
525,0.999993,1.78775e-05
526,0.999994,1.67803e-05
527,0.999994,1.57504e-05
528,0.999995,1.47839e-05
529,0.999995,1.47839e-05
530,0.999995,1.47839e-05
531,0.999995,1.47839e-05
532,0.999995,1.47839e-05
533,0.999995,1.47839e-05
534,0.999995,1.47839e-05
535,0.999995,1.47839e-05
536,0.999995,1.47839e-05
537,0.999995,1.47839e-05
538,0.999995,1.47839e-05
539,0.999995,1.47839e-05
540,0.999995,1.47839e-05
541,0.999995,1.47839e-05
542,0.999995,1.47839e-05
543,0.999995,1.47839e-05
544,0.999995,1.47839e-05
545,0.999995,1.47839e-05
546,0.999995,1.47839e-05
547,0.999995,1.47839e-05
548,0.999995,1.47839e-05
549,0.999995,1.47839e-05
550,0.999995,1.47839e-05
551,0.999995,1.47839e-05
552,0.999995,1.47839e-05
553,0.999995,1.47839e-05
554,0.999995,1.47839e-05
555,0.999995,1.47839e-05
556,0.999995,1.47839e-05
557,0.999995,1.47839e-05
558,0.999995,1.47839e-05
559,0.999995,1.47839e-05
560,0.999995,1.47839e-05
561,0.999995,1.47839e-05
562,0.999995,1.47839e-05
563,0.999995,1.47839e-05
564,0.999995,1.47839e-05
565,0.999995,1.47839e-05
566,0.999995,1.47839e-05
567,0.999995,1.47839e-05
568,0.999995,1.47839e-05
569,0.999995,1.47839e-05
570,0.999995,1.47839e-05
571,0.999995,1.47839e-05
572,0.999995,1.47839e-05
573,0.999995,1.47839e-05
574,0.999995,1.47839e-05
575,0.999995,1.47839e-05
576,0.999995,1.47839e-05
577,0.999995,1.47839e-05
578,0.999995,1.47839e-05
579,0.999995,1.47839e-05
580,0.999995,1.47839e-05
581,0.999995,1.47839e-05
582,0.999995,1.47839e-05
583,0.999995,1.47839e-05
584,0.999995,1.47839e-05
585,0.999995,1.47839e-05
586,0.999995,1.47839e-05
587,0.999995,1.47839e-05
588,0.999995,1.47839e-05
589,0.999995,1.47839e-05
590,0.999995,1.47839e-05
591,0.999995,1.47839e-05
592,0.999995,1.47839e-05
593,0.999995,1.47839e-05
594,0.999995,1.47839e-05
595,0.999995,1.47839e-05
596,0.999995,1.47839e-05
597,0.999995,1.47839e-05
598,0.999995,1.47839e-05
599,0.999995,1.47839e-05
600,0.999995,1.47839e-05
