Time,avg(PDE variable 0)
0,0.00990099
1,0.00872865
2,0.0084142
3,0.00846246
4,0.00869459
5,0.00903722
6,0.00945737
7,0.00993925
8,0.0104742
9,0.0110574
10,0.0116866
11,0.0123601
12,0.0130765
13,0.0138352
14,0.0146355
15,0.0154767
16,0.0163583
17,0.0172798
18,0.0182404
19,0.0192394
20,0.0202769
21,0.0213514
22,0.0224616
23,0.0236064
24,0.0247846
25,0.0259949
26,0.027236
27,0.0285065
28,0.0298051
29,0.0311302
30,0.0324804
31,0.0338544
32,0.0352504
33,0.0366672
34,0.0381034
35,0.0395577
36,0.0410289
37,0.0425158
38,0.0440173
39,0.0455323
40,0.0470598
41,0.0485988
42,0.0501486
43,0.0517084
44,0.0532773
45,0.0548547
46,0.05644
47,0.0580328
48,0.0596326
49,0.0612388
50,0.0628511
51,0.064469
52,0.0660924
53,0.0677208
54,0.0693539
55,0.0709916
56,0.0726336
57,0.0742798
58,0.0759298
59,0.0775837
60,0.0792411
61,0.0809021
62,0.0825664
63,0.084234
64,0.0859048
65,0.0875787
66,0.0892555
67,0.0909352
68,0.0926177
69,0.094303
70,0.095991
71,0.0976815
72,0.0993746
73,0.10107
74,0.102768
75,0.104469
76,0.106171
77,0.107876
78,0.109583
79,0.111292
80,0.113004
81,0.114717
82,0.116432
83,0.11815
84,0.119869
85,0.12159
86,0.123312
87,0.125037
88,0.126763
89,0.12849
90,0.13022
91,0.13195
92,0.133683
93,0.135416
94,0.137151
95,0.138888
96,0.140625
97,0.142364
98,0.144104
99,0.145846
100,0.147588
101,0.149332
102,0.151076
103,0.152822
104,0.154569
105,0.156316
106,0.158065
107,0.159814
108,0.161564
109,0.163315
110,0.165067
111,0.166819
112,0.168573
113,0.170327
114,0.172081
115,0.173836
116,0.175592
117,0.177349
118,0.179105
119,0.180863
120,0.182621
121,0.184379
122,0.186138
123,0.187897
124,0.189657
125,0.191417
126,0.193178
127,0.194938
128,0.196699
129,0.198461
130,0.200223
131,0.201984
132,0.203747
133,0.205509
134,0.207272
135,0.209035
136,0.210798
137,0.212561
138,0.214324
139,0.216087
140,0.217851
141,0.219615
142,0.221379
143,0.223142
144,0.224906
145,0.22667
146,0.228434
147,0.230198
148,0.231962
149,0.233726
150,0.23549
151,0.237255
152,0.239019
153,0.240783
154,0.242546
155,0.24431
156,0.246074
157,0.247838
158,0.249602
159,0.251365
160,0.253129
161,0.254892
162,0.256655
163,0.258418
164,0.260181
165,0.261944
166,0.263707
167,0.265469
168,0.267231
169,0.268994
170,0.270756
171,0.272517
172,0.274279
173,0.27604
174,0.277801
175,0.279562
176,0.281323
177,0.283084
178,0.284844
179,0.286604
180,0.288364
181,0.290123
182,0.291883
183,0.293642
184,0.295401
185,0.297159
186,0.298917
187,0.300675
188,0.302433
189,0.30419
190,0.305947
191,0.307704
192,0.30946
193,0.311216
194,0.312972
195,0.314728
196,0.316483
197,0.318238
198,0.319992
199,0.321746
200,0.3235
