PDE variable 0,arc_length
1,0
1,0.1
1,0.2
1,0.3
1,0.4
1,0.5
1,0.6
1,0.7
1,0.8
1,0.9
1,1
1,1.1
1,1.2
1,1.3
1,1.4
0.999999,1.5
1,1.6
1,1.7
1,1.8
0.999999,1.9
1,2
1,2.1
1,2.2
0.999999,2.3
1,2.4
1,2.5
1,2.6
0.999999,2.7
1,2.8
1,2.9
0.999999,3
0.999999,3.1
1,3.2
1,3.3
0.999999,3.4
0.999999,3.5
1,3.6
1,3.7
0.999999,3.8
0.999999,3.9
1,4
0.999999,4.1
0.999999,4.2
0.999999,4.3
0.999999,4.4
0.999999,4.5
0.999999,4.6
0.999999,4.7
0.999999,4.8
0.999999,4.9
0.999999,5
0.999999,5.1
0.999999,5.2
0.999999,5.3
0.999999,5.4
0.999999,5.5
0.999999,5.6
0.999999,5.7
0.999998,5.8
0.999999,5.9
0.999999,6
0.999998,6.1
0.999998,6.2
0.999999,6.3
0.999998,6.4
0.999998,6.5
0.999998,6.6
0.999998,6.7
0.999998,6.8
0.999998,6.9
0.999998,7
0.999998,7.1
0.999998,7.2
0.999997,7.3
0.999997,7.4
0.999998,7.5
0.999997,7.6
0.999997,7.7
0.999997,7.8
0.999997,7.9
0.999997,8
0.999996,8.1
0.999997,8.2
0.999997,8.3
0.999996,8.4
0.999996,8.5
0.999996,8.6
0.999996,8.7
0.999995,8.8
0.999995,8.9
0.999995,9
0.999995,9.1
0.999995,9.2
0.999994,9.3
0.999994,9.4
0.999994,9.5
0.999994,9.6
0.999993,9.7
0.999993,9.8
0.999993,9.9
0.999992,10
0.999992,10.1
0.999992,10.2
0.999992,10.3
0.999991,10.4
0.999991,10.5
0.999991,10.6
0.99999,10.7
0.99999,10.8
0.999989,10.9
0.999989,11
0.999988,11.1
0.999988,11.2
0.999987,11.3
0.999987,11.4
0.999986,11.5
0.999985,11.6
0.999985,11.7
0.999984,11.8
0.999983,11.9
0.999983,12
0.999982,12.1
0.999981,12.2
0.99998,12.3
0.99998,12.4
0.999979,12.5
0.999978,12.6
0.999977,12.7
0.999976,12.8
0.999975,12.9
0.999974,13
0.999973,13.1
0.999972,13.2
0.99997,13.3
0.999969,13.4
0.999968,13.5
0.999966,13.6
0.999965,13.7
0.999963,13.8
0.999962,13.9
0.99996,14
0.999959,14.1
0.999957,14.2
