Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00779205,0.0569989
2,0.00757755,0.0486073
3,0.00777417,0.0459055
4,0.00813481,0.0451692
5,0.00859515,0.0454249
6,0.00913202,0.0462996
7,0.00973558,0.0476164
8,0.0104015,0.04928
9,0.0111281,0.0512342
10,0.0119151,0.0534443
11,0.0127631,0.0558873
12,0.013673,0.0585476
13,0.0146461,0.061414
14,0.0156835,0.0644779
15,0.0167868,0.0677322
16,0.017957,0.0711708
17,0.0191953,0.0747877
18,0.0205025,0.078577
19,0.0218795,0.0825325
20,0.0233267,0.0866473
21,0.0248443,0.0909144
22,0.0264322,0.0953259
23,0.02809,0.099873
24,0.029817,0.104547
25,0.0316123,0.109337
26,0.0334747,0.114234
27,0.0354025,0.119226
28,0.0373941,0.124302
29,0.0394473,0.129452
30,0.04156,0.134662
31,0.0437297,0.139922
32,0.0459539,0.14522
33,0.0482299,0.150544
34,0.0505549,0.155884
35,0.0529261,0.161229
36,0.0553408,0.166569
37,0.0577959,0.171895
38,0.0602889,0.177197
39,0.0628169,0.182467
40,0.0653773,0.187699
41,0.0679675,0.192885
42,0.0705852,0.198019
43,0.0732281,0.203096
44,0.075894,0.208112
45,0.0785808,0.213062
46,0.0812867,0.217943
47,0.0840099,0.222754
48,0.0867489,0.22749
49,0.0895022,0.232152
50,0.0922685,0.236738
51,0.0950465,0.241247
52,0.0978353,0.24568
53,0.100634,0.250035
54,0.103441,0.254314
55,0.106257,0.258517
56,0.10908,0.262645
57,0.11191,0.266698
58,0.114746,0.270679
59,0.117588,0.274587
60,0.120435,0.278426
61,0.123288,0.282195
62,0.126146,0.285896
63,0.129008,0.289532
64,0.131875,0.293103
65,0.134746,0.29661
66,0.137621,0.300057
67,0.1405,0.303443
68,0.143383,0.30677
69,0.14627,0.310041
70,0.14916,0.313255
71,0.152054,0.316415
72,0.154951,0.319522
73,0.157853,0.322578
74,0.160757,0.325582
75,0.163665,0.328538
76,0.166577,0.331445
77,0.169491,0.334305
78,0.17241,0.33712
79,0.175331,0.339889
80,0.178256,0.342614
81,0.181184,0.345297
82,0.184116,0.347937
83,0.18705,0.350535
84,0.189988,0.353094
85,0.19293,0.355613
